id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,12/05/2017 12:59:25 PM,12/05/2017 01:36:26 PM,1,2.79,1,N,236,170,1,23,0,0.5,2,0,0.3,25.8
3,12/05/2017 12:03:05 PM,12/05/2017 12:17:19 PM,2,1.5,1,N,211,68,1,10,0,0.5,2.16,0,0.3,12.96
4,12/05/2017 12:18:34 PM,12/05/2017 12:32:15 PM,2,2.44,1,N,68,231,1,12,0,0.5,3.2,0,0.3,16
5,12/05/2017 12:54:19 PM,12/05/2017 12:59:03 PM,2,0.42,1,N,90,90,1,5,0,0.5,1.45,0,0.3,7.25
6,12/05/2017 12:15:39 PM,12/05/2017 12:25:46 PM,1,0.67,1,N,186,234,1,7.5,0,0.5,2.08,0,0.3,10.38
7,12/05/2017 12:41:40 PM,12/05/2017 12:54:36 PM,1,1.57,1,N,249,144,1,10,0,0.5,2.7,0,0.3,13.5
8,12/05/2017 12:21:12 PM,12/05/2017 12:30:57 PM,1,1.36,1,N,42,159,2,8,0,0.5,0,0,0.3,8.8
9,12/05/2017 12:13:55 PM,12/05/2017 12:35:47 PM,1,5.7,1,N,79,97,1,21.5,0,0.5,3,0,0.3,25.3
10,12/05/2017 12:54:31 PM,12/05/2017 01:07:38 PM,1,2.4,1,N,107,140,1,11,0,0.5,0,0,0.3,11.8
11,12/05/2017 12:18:25 PM,12/05/2017 12:36:52 PM,1,2,1,N,161,234,2,12.5,0,0.5,0,0,0.3,13.3
12,12/05/2017 12:39:18 PM,12/05/2017 01:01:45 PM,1,4.4,1,N,107,87,1,19.5,0,0.5,4.06,0,0.3,24.36
13,12/05/2017 12:06:59 PM,12/05/2017 12:57:39 PM,1,11.6,1,N,138,230,1,42,0,0.5,12.1,5.76,0.3,60.66
14,12/05/2017 12:20:45 PM,12/05/2017 12:31:35 PM,2,0.93,1,N,236,237,1,8.5,0,0.5,2.79,0,0.3,12.09
15,12/05/2017 12:42:49 PM,12/05/2017 12:52:17 PM,2,0.23,1,N,163,161,1,7,0,0.5,1.56,0,0.3,9.36
16,12/05/2017 12:54:09 PM,12/05/2017 01:02:26 PM,2,1.24,1,N,163,236,1,7.5,0,0.5,1.66,0,0.3,9.96
17,12/05/2017 12:23:22 PM,12/05/2017 12:38:26 PM,1,0.9,1,N,233,170,1,10.5,0,0.5,1,0,0.3,12.3
18,12/05/2017 12:51:07 PM,12/05/2017 01:08:13 PM,1,1.1,1,N,100,48,1,11,0,0.5,1.18,0,0.3,12.98
19,12/05/2017 12:09:22 PM,12/05/2017 12:25:46 PM,1,2.1,1,N,148,234,1,12,0,0.5,2,0,0.3,14.8
20,12/05/2017 12:41:46 PM,12/05/2017 12:43:30 PM,1,0.3,1,N,113,114,1,3,0,0.5,0.75,0,0.3,4.55
21,12/05/2017 12:39:01 PM,12/05/2017 12:45:43 PM,1,0.37,1,N,229,229,1,5.5,0,0.5,1.26,0,0.3,7.56
22,12/05/2017 12:07:43 PM,12/05/2017 12:14:59 PM,2,0.73,1,N,107,234,2,6,0,0.5,0,0,0.3,6.8
23,12/05/2017 12:14:38 PM,12/05/2017 12:29:01 PM,1,0.4,1,N,229,162,3,9.5,0,0.5,0,0,0.3,10.3
24,12/05/2017 12:30:21 PM,12/05/2017 12:40:15 PM,1,1.4,1,N,162,107,3,8,0,0.5,0,0,0.3,8.8
25,12/05/2017 12:55:17 PM,12/05/2017 01:09:27 PM,1,4.1,1,N,107,88,1,15,0,0.5,3,0,0.3,18.8
26,12/05/2017 12:32:26 PM,12/05/2017 12:57:01 PM,1,1.8,1,N,162,90,1,15,0,0.5,3.15,0,0.3,18.95
27,12/05/2017 12:31:24 PM,12/05/2017 12:55:05 PM,1,5.42,1,N,75,90,2,20.5,0,0.5,0,0,0.3,21.3
28,12/05/2017 12:03:51 PM,12/05/2017 12:28:55 PM,1,2.6,1,N,263,142,2,17,0,0.5,0,0,0.3,17.8
29,12/05/2017 12:39:59 PM,12/05/2017 12:46:41 PM,1,0.9,1,N,238,239,1,6,0,0.5,1.35,0,0.3,8.15
30,12/05/2017 12:54:32 PM,12/05/2017 01:08:52 PM,1,1.7,1,N,142,141,1,10,0,0.5,2.15,0,0.3,12.95
31,12/05/2017 12:00:01 PM,12/05/2017 12:24:57 PM,2,1.23,1,N,68,164,2,15,0,0.5,0,0,0.3,15.8
32,12/05/2017 12:28:30 PM,12/05/2017 12:45:53 PM,2,1.03,1,N,100,230,2,11,0,0.5,0,0,0.3,11.8
33,12/05/2017 12:52:30 PM,12/05/2017 01:01:29 PM,2,0.41,1,N,164,170,1,7,0,0.5,1.56,0,0.3,9.36
34,12/05/2017 12:30:34 PM,12/05/2017 12:47:36 PM,1,2.9,1,N,224,237,2,13,0,0.5,0,0,0.3,13.8
35,12/05/2017 12:52:11 PM,12/05/2017 01:08:11 PM,1,1.3,1,N,237,48,2,11,0,0.5,0,0,0.3,11.8
36,12/05/2017 12:06:06 PM,12/05/2017 12:35:55 PM,1,21.26,2,N,229,132,1,52,0,0.5,11.71,5.76,0.3,70.27
37,12/05/2017 12:48:36 PM,12/05/2017 12:56:32 PM,1,0.7,1,N,262,236,1,6.5,0,0.5,1.46,0,0.3,8.76
38,12/05/2017 12:05:14 PM,12/05/2017 12:20:27 PM,6,2.3,1,N,161,239,2,11.5,0,0.5,0,0,0.3,12.3
39,12/05/2017 12:07:47 PM,12/05/2017 12:19:04 PM,1,0.85,1,N,261,13,2,8,0,0.5,0,0,0.3,8.8
40,12/05/2017 12:20:32 PM,12/05/2017 12:42:28 PM,1,4.29,1,N,13,50,2,18,0,0.5,0,0,0.3,18.8
41,12/05/2017 12:52:42 PM,12/05/2017 01:02:30 PM,1,2,1,N,43,74,1,9,0,0.5,0,0,0.3,9.8
42,12/05/2017 12:05:52 PM,12/05/2017 12:37:25 PM,1,2.9,1,N,48,107,1,19.5,0,0.5,2.5,0,0.3,22.8
43,12/05/2017 12:57:02 PM,12/05/2017 01:01:19 PM,1,0.6,1,N,231,231,1,5,0,0.5,1.45,0,0.3,7.25
44,12/05/2017 12:16:05 PM,12/05/2017 12:33:53 PM,2,2.51,1,N,161,211,2,12.5,0,0.5,0,0,0.3,13.3
45,12/05/2017 12:27:50 PM,12/05/2017 12:56:29 PM,2,1.9,1,N,79,186,1,17.5,0,0.5,2,0,0.3,20.3
46,12/05/2017 12:37:17 PM,12/05/2017 12:42:02 PM,1,1.2,1,N,236,74,1,6,0,0.5,1.36,0,0.3,8.16
47,12/05/2017 12:59:59 PM,12/05/2017 01:30:00 PM,1,5.3,1,N,236,7,3,22.5,0,0.5,0,0,0.3,23.3
48,12/05/2017 12:02:08 PM,12/05/2017 12:25:00 PM,1,2.89,1,N,142,236,2,16,0,0.5,0,0,0.3,16.8
49,12/05/2017 12:54:33 PM,12/05/2017 01:03:30 PM,1,1.09,1,N,262,140,1,7.5,0,0.5,1.66,0,0.3,9.96
50,12/05/2017 12:58:01 PM,12/05/2017 01:01:51 PM,1,0.6,1,N,239,239,1,4.5,0,0.5,1.59,0,0.3,6.89
51,12/05/2017 12:54:13 PM,12/05/2017 01:17:13 PM,5,3.41,1,N,107,262,1,16.5,0,0.5,3.46,0,0.3,20.76
52,12/05/2017 12:07:10 PM,12/05/2017 12:29:38 PM,1,6.77,1,N,161,13,1,23.5,0,0.5,4.86,0,0.3,29.16
53,12/05/2017 12:43:24 PM,12/05/2017 12:55:23 PM,1,1.72,1,N,87,211,1,9.5,0,0.5,2.58,0,0.3,12.88
54,12/05/2017 12:43:32 PM,12/05/2017 12:52:30 PM,1,0.53,1,N,68,186,2,6.5,0,0.5,0,0,0.3,7.3
55,12/05/2017 12:03:37 PM,12/05/2017 12:12:47 PM,2,1,1,N,141,237,1,7,0,0.5,1.55,0,0.3,9.35
56,12/05/2017 12:23:23 PM,12/05/2017 12:31:55 PM,1,0.7,1,N,142,143,1,7,0,0.5,1.55,0,0.3,9.35
57,12/05/2017 12:37:39 PM,12/05/2017 12:44:40 PM,1,0.9,1,N,142,237,1,6.5,0,0.5,2.15,0,0.3,9.45
58,12/05/2017 12:49:18 PM,12/05/2017 01:09:45 PM,1,1.3,1,N,237,162,1,13,0,0.5,2,0,0.3,15.8
59,12/05/2017 12:27:30 PM,12/05/2017 01:12:03 PM,1,12.26,1,N,138,52,1,38.5,0,0.5,5.9,0,0.3,45.2
60,12/05/2017 12:08:19 PM,12/05/2017 12:29:02 PM,1,2.3,1,N,113,68,1,14,0,0.5,1,0,0.3,15.8
61,12/05/2017 12:33:01 PM,12/05/2017 12:54:54 PM,1,2.7,1,N,68,148,1,15,0,0.5,3.15,0,0.3,18.95
62,12/05/2017 12:56:20 PM,12/05/2017 01:09:47 PM,1,1.6,1,N,148,107,1,10,0,0.5,2.7,0,0.3,13.5
63,12/05/2017 12:48:49 PM,12/05/2017 01:38:01 PM,1,9.42,1,N,138,100,1,38.5,0,0.5,5,5.76,0.3,50.06
64,12/05/2017 12:39:47 PM,12/05/2017 12:56:49 PM,1,0.84,1,N,100,170,1,11,0,0.5,1,0,0.3,12.8
65,12/05/2017 12:12:58 PM,12/05/2017 12:38:13 PM,1,4.9,1,N,48,88,1,21,0,0.5,3,0,0.3,24.8
66,12/05/2017 12:45:17 PM,12/05/2017 12:51:23 PM,1,1.2,1,N,88,13,1,6.5,0,0.5,1,0,0.3,8.3
67,12/05/2017 12:17:02 PM,12/05/2017 12:17:48 PM,1,0.3,1,N,238,238,1,3,0,0.5,0.95,0,0.3,4.75
